lead_id,email,phone,signup_ts,source_platform,campaign_id,ad_id,opted_into,intent_category,geo_state,device,days_since_signup,total_opens,has_opened,days_since_last_open
L00000,user0@example.com,+15550000000,2026-01-22,meta,camp_meta_5,ad_9779,personal_loan_calc,finance,PA,tablet,158,1,1,142
L00001,user1@example.com,+15550000001,2025-08-27,google_search,camp_google_search_4,ad_3044,weekly_cash_draw,sweepstakes,TX,desktop,306,4,1,130
L00002,user2@example.com,+15550000002,2026-03-20,tiktok,camp_tiktok_3,ad_5200,solar_savings_quote,home_services,OH,mobile,101,5,1,100
L00003,user3@example.com,+15550000003,2025-07-28,tiktok,camp_tiktok_1,ad_5225,weight_loss_guide,health,PA,mobile,336,2,1,173
L00004,user4@example.com,+15550000004,2026-03-01,meta,camp_meta_7,ad_8489,weight_loss_guide,health,OH,tablet,120,4,1,57
L00005,user5@example.com,+15550000005,2026-04-03,meta,camp_meta_7,ad_1066,roofing_estimate,home_services,PA,tablet,87,1,1,87
L00006,user6@example.com,+15550000006,2026-03-20,tiktok,camp_tiktok_2,ad_2030,win_iphone_giveaway,sweepstakes,OH,tablet,101,2,1,101
L00007,user7@example.com,+15550000007,2026-06-01,tiktok,camp_tiktok_5,ad_1277,win_iphone_giveaway,sweepstakes,NY,desktop,28,3,1,28
L00008,user8@example.com,+15550000008,2025-07-02,meta,camp_meta_7,ad_3532,solar_savings_quote,home_services,AZ,mobile,362,1,1,192
L00009,user9@example.com,+15550000009,2025-12-27,tiktok,camp_tiktok_3,ad_1204,keto_meal_plan,health,CA,mobile,184,3,1,140
L00010,user10@example.com,+15550000010,2025-10-11,meta,camp_meta_4,ad_7266,weekly_cash_draw,sweepstakes,OH,desktop,261,1,1,84
L00011,user11@example.com,+15550000011,2025-10-23,meta,camp_meta_3,ad_2061,debt_relief_guide,finance,NY,tablet,249,1,1,137
L00012,user12@example.com,+15550000012,2026-01-14,tiktok,camp_tiktok_1,ad_1867,health_ins_compare,insurance,OH,tablet,166,4,1,72
L00013,user13@example.com,+15550000013,2025-10-09,meta,camp_meta_4,ad_8708,debt_relief_guide,finance,TX,tablet,263,1,1,101
L00014,user14@example.com,+15550000014,2026-03-09,meta,camp_meta_7,ad_4741,supplement_trial,health,PA,mobile,112,2,1,103
L00015,user15@example.com,+15550000015,2025-10-31,meta,camp_meta_2,ad_2576,debt_relief_guide,finance,GA,tablet,241,0,0,241
L00016,user16@example.com,+15550000016,2025-07-27,tiktok,camp_tiktok_8,ad_4762,mortgage_refi_quiz,finance,OH,desktop,337,2,1,102
L00017,user17@example.com,+15550000017,2026-05-30,meta,camp_meta_3,ad_9583,500_giftcard_sweeps,sweepstakes,NY,desktop,30,3,1,30
L00018,user18@example.com,+15550000018,2026-01-20,google_search,camp_google_search_5,ad_3840,supplement_trial,health,CA,desktop,160,2,1,76
L00019,user19@example.com,+15550000019,2026-03-19,tiktok,camp_tiktok_8,ad_9775,500_giftcard_sweeps,sweepstakes,FL,mobile,102,2,1,98
L00020,user20@example.com,+15550000020,2025-12-09,meta,camp_meta_5,ad_9148,mortgage_refi_quiz,finance,FL,tablet,202,4,1,124
L00021,user21@example.com,+15550000021,2026-04-30,google_search,camp_google_search_3,ad_1199,solar_savings_quote,home_services,PA,desktop,60,6,1,60
L00022,user22@example.com,+15550000022,2026-02-13,google_search,camp_google_search_1,ad_1608,win_iphone_giveaway,sweepstakes,IL,tablet,136,3,1,37
L00023,user23@example.com,+15550000023,2026-04-25,tiktok,camp_tiktok_7,ad_3883,personal_loan_calc,finance,AZ,desktop,65,2,1,65
L00024,user24@example.com,+15550000024,2026-05-08,google_search,camp_google_search_6,ad_9722,keto_meal_plan,health,CA,mobile,52,1,1,15
L00025,user25@example.com,+15550000025,2025-10-19,tiktok,camp_tiktok_6,ad_8432,supplement_trial,health,CA,desktop,253,2,1,73
L00026,user26@example.com,+15550000026,2025-07-26,meta,camp_meta_8,ad_5688,debt_relief_guide,finance,FL,tablet,338,2,1,121
L00027,user27@example.com,+15550000027,2026-06-20,tiktok,camp_tiktok_2,ad_7738,roofing_estimate,home_services,OH,mobile,9,1,1,9
L00028,user28@example.com,+15550000028,2025-11-24,taboola,camp_taboola_1,ad_3591,solar_savings_quote,home_services,IL,mobile,217,3,1,133
L00029,user29@example.com,+15550000029,2026-04-06,meta,camp_meta_3,ad_9337,win_iphone_giveaway,sweepstakes,OH,mobile,84,3,1,35
L00030,user30@example.com,+15550000030,2025-08-17,meta,camp_meta_6,ad_8566,weekly_cash_draw,sweepstakes,IL,tablet,316,1,1,198
L00031,user31@example.com,+15550000031,2026-06-05,tiktok,camp_tiktok_3,ad_9309,personal_loan_calc,finance,CA,tablet,24,1,1,24
L00032,user32@example.com,+15550000032,2026-04-30,meta,camp_meta_1,ad_7380,roofing_estimate,home_services,TX,mobile,60,1,1,60
L00033,user33@example.com,+15550000033,2026-06-10,tiktok,camp_tiktok_5,ad_7623,personal_loan_calc,finance,IL,tablet,19,2,1,19
L00034,user34@example.com,+15550000034,2026-06-14,google_search,camp_google_search_5,ad_9538,roofing_estimate,home_services,OH,mobile,15,1,1,15
L00035,user35@example.com,+15550000035,2026-02-13,meta,camp_meta_1,ad_8500,mortgage_refi_quiz,finance,CA,mobile,136,0,0,136
L00036,user36@example.com,+15550000036,2025-08-28,google_search,camp_google_search_7,ad_5824,supplement_trial,health,NY,desktop,305,6,1,177
L00037,user37@example.com,+15550000037,2025-09-16,meta,camp_meta_4,ad_5300,hvac_tuneup_offer,home_services,CA,desktop,286,2,1,117
L00038,user38@example.com,+15550000038,2025-12-27,meta,camp_meta_2,ad_7171,500_giftcard_sweeps,sweepstakes,FL,mobile,184,1,1,89
L00039,user39@example.com,+15550000039,2025-08-22,taboola,camp_taboola_2,ad_8238,weekly_cash_draw,sweepstakes,GA,desktop,311,3,1,134
L00040,user40@example.com,+15550000040,2026-04-26,meta,camp_meta_8,ad_2188,win_iphone_giveaway,sweepstakes,AZ,desktop,64,2,1,64
L00041,user41@example.com,+15550000041,2025-11-30,tiktok,camp_tiktok_8,ad_9628,500_giftcard_sweeps,sweepstakes,CA,tablet,211,1,1,62
L00042,user42@example.com,+15550000042,2025-07-01,tiktok,camp_tiktok_5,ad_6544,keto_meal_plan,health,CA,mobile,363,3,1,185
L00043,user43@example.com,+15550000043,2026-01-07,tiktok,camp_tiktok_2,ad_9380,debt_relief_guide,finance,IL,mobile,173,4,1,98
L00044,user44@example.com,+15550000044,2026-01-02,google_search,camp_google_search_6,ad_9084,500_giftcard_sweeps,sweepstakes,IL,tablet,178,3,1,122
L00045,user45@example.com,+15550000045,2025-12-17,meta,camp_meta_1,ad_9424,500_giftcard_sweeps,sweepstakes,GA,desktop,194,1,1,85
L00046,user46@example.com,+15550000046,2026-04-26,tiktok,camp_tiktok_6,ad_9878,win_iphone_giveaway,sweepstakes,TX,tablet,64,3,1,64
L00047,user47@example.com,+15550000047,2026-03-23,google_search,camp_google_search_4,ad_6293,hvac_tuneup_offer,home_services,TX,tablet,98,1,1,98
L00048,user48@example.com,+15550000048,2025-10-09,meta,camp_meta_1,ad_3717,weight_loss_guide,health,GA,tablet,263,2,1,164
L00049,user49@example.com,+15550000049,2026-02-07,google_search,camp_google_search_6,ad_9990,weekly_cash_draw,sweepstakes,TX,desktop,142,3,1,142
